Id,LotArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,SalePrice
64,10300,0,0,2,0,3,140000
65,9375,1,0,2,1,3,219500
66,9591,0,0,2,1,4,317000
67,19900,1,0,2,0,3,180000
68,10665,1,0,2,0,3,226000
69,4608,0,0,1,0,2,80000
70,15593,0,0,2,0,3,225000
71,13651,1,0,2,0,3,244000
72,7599,1,0,1,0,2,129500
73,10141,0,0,2,1,3,185000
74,10200,1,0,1,0,3,144900
75,5790,0,0,2,0,3,107400
76,1596,1,0,1,0,2,91000
77,8475,0,0,1,0,2,135750
78,8635,1,0,1,0,2,127000
79,10778,0,0,2,0,4,136500
80,10440,0,0,1,1,2,110000
81,13000,0,0,2,1,4,193500
82,4500,1,0,2,0,2,153500
83,10206,0,0,2,0,3,245000
84,8892,0,0,1,1,3,126500
85,8530,0,0,2,1,3,168500
86,16059,0,0,2,1,4,260000
87,11911,0,0,2,1,3,174000
88,3951,0,0,2,1,2,164500
89,8470,0,0,1,0,2,85000
90,8070,1,0,1,0,3,123600
91,7200,0,0,1,0,2,109900
92,8500,0,0,1,0,2,98600
93,13360,1,0,1,0,2,163500
94,7200,0,1,2,0,4,133900
95,9337,1,0,2,1,3,204750
96,9765,0,0,2,1,3,185000
97,10264,0,0,2,0,3,214000
98,10921,1,0,1,0,3,94750
99,10625,0,0,1,0,2,83000
100,9320,1,0,1,1,3,128950
101,10603,1,0,2,0,3,205000
102,9206,0,0,2,1,3,178000
103,7018,0,0,2,0,4,118964
104,10402,0,0,2,0,3,198900
105,7758,0,0,1,1,4,169500
106,9375,0,0,2,1,3,250000
107,10800,0,0,1,0,2,100000
108,6000,0,0,1,0,2,115000
109,8500,0,0,2,0,3,115000
110,11751,0,0,2,0,3,190000
111,9525,0,0,2,0,4,136900
112,7750,0,0,2,1,3,180000
113,9965,1,0,2,1,4,383970
114,21000,1,0,2,0,3,217000
115,7259,1,0,2,1,3,259500
116,3230,0,0,2,1,2,176000
117,11616,0,1,1,0,3,139000
118,8536,0,0,1,1,2,155000
119,12376,1,0,3,0,5,320000
120,8461,0,0,2,1,3,163990
121,21453,1,0,1,0,1,180000
122,6060,0,0,1,0,3,100000
123,9464,0,0,1,0,3,136000
124,7892,0,0,2,0,2,153900
125,17043,0,0,2,0,3,181000
126,6780,1,0,1,0,2,84500
127,4928,0,0,2,0,2,128000
128,4388,0,0,1,0,3,87000
129,7590,0,0,1,1,3,155000
130,8973,0,1,1,1,3,150000
131,14200,0,0,2,1,4,226000
132,12224,1,0,2,1,3,244000
133,7388,1,0,1,0,3,150750
134,6853,1,0,2,0,2,220000
135,10335,0,0,2,1,3,180000
136,10400,0,0,2,0,3,174000
137,10355,0,0,2,0,3,143000
138,11070,0,0,3,0,5,171000
139,9066,0,0,2,1,3,230000
140,15426,1,0,2,1,3,231500
141,10500,0,0,1,0,3,115000
142,11645,1,0,2,0,3,260000
143,8520,0,0,2,0,4,166000
144,10335,1,0,2,0,3,204000
145,9100,1,0,2,0,6,125000
146,2522,0,0,2,0,3,130000
147,6120,1,0,1,0,2,105000
148,9505,0,0,2,1,3,222500
149,7500,1,0,1,0,3,141000
150,6240,0,0,1,0,3,115000
151,10356,0,0,1,1,3,122000
152,13891,1,0,2,0,2,372402
153,14803,0,0,2,1,4,190000
154,13500,1,0,1,0,1,235000
155,11340,0,0,1,0,4,125000
156,9600,0,0,1,0,2,79000
157,7200,0,0,1,0,2,109500
158,12003,0,0,2,1,4,269500
159,12552,0,0,2,1,3,254900
160,19378,1,0,2,1,4,320000
161,11120,0,0,2,0,3,162500
162,13688,1,0,2,1,3,412500
163,12182,0,0,2,0,3,220000
164,5500,0,0,1,0,1,103200
165,5400,0,0,2,0,3,152000
166,10106,1,0,2,0,4,127500
167,10708,1,0,1,0,2,190000
168,10562,1,0,1,1,3,325624
169,8244,0,0,2,1,3,183500
170,16669,0,0,2,1,2,228000
171,12358,0,0,1,1,2,128500
172,31770,1,0,1,0,3,215000
173,5306,1,0,2,0,2,239000
174,10197,1,0,1,1,3,163000
175,12416,1,0,2,0,3,184000
176,12615,1,0,2,0,4,243000
177,10029,0,1,2,1,4,211000
178,13650,1,0,2,0,4,172500
179,17423,1,0,2,0,1,501837
180,8520,0,0,1,0,2,100000
181,2117,0,0,2,1,3,177000
182,7588,0,0,1,1,4,200100
183,9060,0,0,1,0,3,120000
184,11426,0,0,2,1,3,200000
185,7438,0,0,1,0,3,127000
186,22950,0,0,2,1,4,475000
187,9947,1,0,2,0,3,173000
188,10410,0,0,2,1,3,135000
189,7018,2,0,0,2,2,153337
190,4923,1,0,1,1,0,286000
191,10570,0,0,2,1,3,315000
192,7472,1,0,1,1,4,184000
193,9017,1,0,2,0,3,192000
194,2522,0,0,2,0,3,130000
195,7180,0,0,1,0,3,127000
196,2280,0,0,2,1,3,148500
197,9416,1,0,2,0,3,311872
198,25419,1,1,2,0,4,235000
199,5520,0,0,1,0,5,104000
200,9591,1,0,2,0,3,274900
201,8546,0,0,2,0,2,140000
202,10125,0,1,2,0,3,171500
203,7000,0,0,2,0,2,112000
204,4438,1,0,1,0,1,149000
205,3500,0,0,1,1,2,110000
206,11851,0,0,2,0,3,180500
207,13673,0,0,1,1,3,143900
208,12493,1,0,1,0,3,141000
209,14364,1,0,2,1,3,277000
210,8250,1,0,1,0,3,145000
211,5604,1,0,1,0,2,98000
212,10420,0,0,2,0,3,186000
213,8640,1,0,2,1,3,252678
214,13568,0,1,1,0,3,156000
215,10900,0,0,1,1,3,161750
216,10011,0,1,1,0,2,134450
217,8450,1,0,2,0,3,210000
218,9906,0,0,1,0,3,107000
219,15660,0,1,1,1,3,311500
220,3010,0,0,2,0,2,167240
221,8990,0,0,2,0,2,204900
222,8068,0,0,2,1,4,200000
223,11475,1,0,2,1,3,179900
224,10500,0,0,1,0,2,97000
225,13472,0,0,2,0,3,386250
226,1680,0,0,2,1,3,112000
227,9950,0,0,2,1,4,290000
228,1869,0,0,1,1,2,106000
229,8521,0,0,1,0,3,125000
230,3182,0,0,2,0,2,192500
231,8760,1,0,1,0,3,148000
232,15138,1,0,2,1,4,403000
233,1680,0,0,1,1,2,94500
234,10650,1,0,1,0,3,128200
235,7851,1,0,2,1,4,216500
236,1680,0,0,1,1,2,89500
237,8773,0,0,2,0,3,185500
238,9453,0,0,2,1,3,194500
239,12030,0,0,2,0,3,318000
240,8741,0,0,1,1,3,113000
241,9000,1,0,2,0,3,262500
242,3880,0,0,1,0,2,110500
243,5000,0,0,1,0,3,79000
244,10762,0,0,1,1,3,120000
245,8880,1,0,2,1,3,205000
246,10400,0,1,2,0,3,241500
247,9142,0,0,2,0,4,137000
248,11310,0,0,1,0,2,140000
249,11317,0,0,2,1,3,180000
250,159000,0,1,2,0,4,277000
251,5350,0,0,1,0,3,76500
252,4750,1,1,2,0,2,235000
253,8366,0,0,2,1,3,173000
254,9350,0,1,2,0,3,158000
255,8400,1,0,1,0,3,145000
256,8738,0,0,2,1,4,230000
257,8791,0,0,2,1,3,207500
258,8814,1,0,2,1,3,220000
259,12435,0,0,2,1,3,231500
260,12702,0,0,1,0,2,97000
261,19296,1,0,1,0,3,176000
262,9588,0,0,2,1,3,276000
263,8471,1,0,1,0,3,151000
264,5500,1,0,1,0,3,130000
265,5232,0,0,1,0,2,73000
266,12090,0,0,2,0,3,175500
267,11207,1,0,2,1,3,185000
268,8400,0,0,2,1,4,179500
269,6900,0,0,1,0,2,120500
270,7917,1,0,1,1,3,148000
271,10728,0,0,2,1,3,266000
272,39104,1,0,1,0,2,241500
273,11764,0,0,2,1,4,290000
274,9600,1,0,2,0,3,139000
275,8314,0,0,1,0,2,124500
276,7264,0,0,2,1,3,205000
277,9196,0,0,2,0,3,201000
278,19138,0,0,1,0,2,141000
279,14450,0,0,2,1,3,415298
280,10005,0,0,2,1,4,192000
281,11287,0,0,2,1,3,228500
282,7200,0,0,2,0,2,185000
283,5063,1,0,2,0,2,207500
284,9612,0,0,2,0,3,244600
285,8012,1,0,2,0,2,179200
286,4251,0,0,2,1,2,164700
287,9786,0,0,1,1,3,159000
288,8125,0,0,1,0,3,88000
289,9819,0,0,1,0,3,122000
290,8730,0,0,1,0,3,153575
291,15611,0,0,2,1,3,233230
292,5687,1,0,2,0,6,135900
293,11409,0,0,1,1,3,131000
294,16659,1,0,2,1,3,235000
295,9600,1,0,1,0,3,167000
296,7937,1,0,1,0,3,142500
297,13710,0,0,1,1,4,152000
298,7399,0,0,2,1,3,239000
299,11700,0,1,1,2,3,175000
300,14000,0,1,1,0,3,158500
301,15750,1,0,1,0,2,157000
302,16226,0,0,2,1,4,267000
303,13704,0,0,2,0,3,205000
304,9800,1,0,1,0,3,149900
305,18386,0,0,3,0,3,295000
306,10386,1,0,2,0,3,305900
307,13474,1,0,2,1,4,225000
308,7920,0,0,1,0,3,89500
309,12342,0,0,1,0,1,82500
310,12378,1,0,2,0,3,360000
311,7685,0,0,2,1,3,165600
312,8000,1,0,1,0,2,132000
313,7800,1,0,1,0,3,119900
314,215245,2,0,2,0,3,375000
315,9600,0,1,1,1,3,178000
316,7795,1,0,2,1,3,188500
317,13005,1,0,2,1,4,260000
318,9000,0,0,2,1,3,270000
319,9900,1,0,2,1,4,260000
320,14115,1,0,2,0,3,187500
321,16259,0,0,3,1,4,342643
322,12099,1,0,2,1,4,354000
323,10380,1,0,2,1,4,301000
324,5820,1,0,1,0,3,126175
325,11275,0,0,2,1,5,242000
326,5000,0,0,1,0,2,87000
327,10846,2,0,1,1,1,324000
328,11600,0,0,1,1,3,145250
329,11888,0,0,2,0,5,214500
330,6402,0,0,1,0,3,78000
331,10624,0,1,2,0,6,119000
332,8176,1,0,1,0,3,139000
333,10655,1,0,2,0,3,284000
334,8198,1,0,2,0,2,207000
335,9042,1,0,2,1,3,192000
336,164660,2,0,2,0,3,228950
337,14157,1,0,2,0,3,377426
338,9135,1,0,2,0,3,214000
339,14145,1,0,2,0,3,202500
340,12400,0,0,1,0,3,155000
341,14191,0,0,2,1,4,202900
342,8400,0,0,1,0,2,82000
343,8544,0,0,2,0,2,87500
344,8849,0,0,2,0,2,266000
345,2592,0,0,1,1,3,85000
346,6435,0,0,1,0,3,140200
347,12772,0,0,1,0,2,151500
348,17600,1,0,2,0,3,157500
349,2448,1,0,2,1,2,154000
350,20431,1,0,2,1,4,437154
351,7820,0,0,2,0,2,318061
352,5271,1,0,1,1,2,190000
353,9084,0,1,1,0,3,95000
354,8520,0,0,1,0,2,105900
355,8400,0,0,1,0,2,140000
356,11249,1,0,2,0,3,177500
357,9248,1,0,2,0,3,173000
358,4224,1,0,1,1,3,134000
359,6930,0,1,1,0,3,130000
360,12011,1,0,2,1,3,280000
361,7540,1,0,1,0,2,156000
362,9144,1,0,1,0,3,145000
363,7301,0,0,3,0,4,198500
364,1680,0,0,1,1,2,118000
365,18800,1,0,2,1,3,190000
366,10690,0,0,1,0,3,147000
367,9500,1,0,1,1,3,159000
368,9150,0,1,1,0,3,165000
369,7800,0,0,1,0,2,132000
370,9830,1,0,1,0,3,162000
371,8121,0,0,2,1,3,172400
372,17120,0,0,2,0,4,134432
373,7175,1,0,1,0,2,125000
374,10634,1,0,1,0,3,123000
375,8200,0,0,2,1,4,219500
376,10020,1,0,0,1,1,61000
377,8846,0,0,1,0,2,148000
378,11143,0,0,3,0,4,340000
379,11394,1,0,1,1,1,394432
380,8123,0,0,2,1,3,179000
381,5000,0,0,2,0,3,127000
382,7200,1,0,2,0,2,187750
383,9245,0,0,2,1,3,213500
384,9000,0,0,1,0,2,76000
385,53107,1,0,2,1,3,240000
386,3182,0,0,2,0,2,192000
387,8410,0,0,1,0,5,81000
388,7200,1,0,1,0,3,125000
389,9382,0,0,2,0,3,191000
390,12474,1,0,2,1,3,426000
391,8405,1,0,1,0,4,119000
392,12209,1,0,2,1,3,215000
393,8339,0,0,1,0,3,106500
394,7446,0,0,1,0,2,100000
395,10134,0,0,1,0,2,109000
396,9571,1,0,1,0,3,129000
397,7200,0,0,1,0,2,123000
398,7590,0,0,2,0,4,169500
399,8967,0,0,1,0,2,67000
400,8125,1,0,2,0,2,241000
401,14963,1,0,1,1,1,245500
402,8767,0,0,2,0,3,164990
403,10200,0,0,1,0,2,108000
404,12090,0,0,2,1,4,258000
405,10364,0,0,2,1,3,168000
406,9991,1,0,2,0,3,150000
407,10480,0,0,1,0,3,115000
408,15576,0,0,2,0,4,177000
409,14154,0,0,2,1,3,280000
410,10800,1,0,2,1,3,339750
411,9571,0,0,1,0,3,60000
412,34650,1,0,1,0,3,145000
413,4403,1,0,2,1,2,222000
414,8960,0,0,1,0,2,115000
415,11228,0,1,2,1,3,228000
416,8899,0,0,2,0,3,181134
417,7844,0,0,1,1,3,149500
418,22420,1,0,2,1,4,239000
419,8160,1,0,1,1,3,126000
420,8450,1,0,1,0,3,142000
421,7060,2,0,2,0,2,206300
422,16635,0,1,2,0,3,215000
423,21750,0,0,1,0,2,113000
424,9200,1,0,2,1,4,315000
425,9000,1,0,1,0,2,139000
426,3378,0,0,1,1,3,135000
427,12800,1,1,2,0,2,275000
428,8593,0,0,1,0,3,109008
429,6762,1,0,2,0,2,195400
430,11457,1,0,2,0,3,175000
431,1680,0,0,1,1,2,85400
432,5586,0,0,1,0,4,79900
433,1920,1,0,1,1,2,122500
434,10839,0,0,2,1,3,181000
435,1890,1,0,1,0,1,81000
436,10667,1,0,2,1,3,212000
437,4400,0,0,1,0,2,116000
438,6000,0,0,1,0,2,119000
439,4280,0,0,1,0,2,90350
440,12354,0,0,1,0,3,110000
441,15431,1,0,2,0,2,555000
442,12108,0,0,2,0,4,118000
443,6240,0,0,2,0,3,162900
444,3922,0,0,2,0,2,172500
445,8750,1,0,2,1,4,210000
446,9855,0,0,1,0,3,127500
447,16492,0,0,2,1,2,190000
448,11214,0,0,2,1,4,199900
449,8600,0,0,2,0,3,119500
450,6000,0,0,1,1,2,120000
451,5684,0,0,1,0,2,110000
452,70761,1,0,2,0,2,280000
453,9303,1,0,2,1,3,204000
454,9000,0,0,2,1,3,210000
455,9297,2,0,2,0,4,188000
456,9600,0,0,1,1,3,175500
457,4571,0,0,1,0,4,98000
458,53227,1,0,1,0,2,256000
459,5100,0,0,1,0,3,161000
460,7015,1,0,1,0,3,110000
461,8004,1,0,2,1,3,263435
462,7200,1,0,1,0,3,155000
463,8281,0,0,1,0,3,62383
464,11988,0,0,1,1,3,188700
465,8430,0,0,2,0,3,124000
466,3072,0,0,2,0,2,178740
467,10628,1,0,1,0,2,167000
468,9480,0,0,1,1,3,146500
469,11428,0,0,2,0,3,250000
470,9291,0,0,2,1,3,187000
471,6820,1,0,1,1,1,212000
472,11952,0,0,2,1,3,190000
473,3675,1,0,1,0,2,148000
474,14977,1,0,2,0,2,440000
475,5330,1,0,2,0,2,251000
476,8480,1,0,1,0,2,132500
477,13125,1,0,2,0,3,208900
478,13693,0,0,2,1,3,380000
479,10637,1,0,2,0,3,297000
480,5925,0,0,1,0,2,89471
481,16033,1,0,2,0,3,326000
482,11846,1,0,2,0,2,374000
483,2500,1,0,1,1,4,155000
484,4500,1,0,2,0,2,164000
485,7758,1,0,1,0,3,132500
486,9600,0,0,1,0,3,147000
487,10289,1,0,1,1,3,156000
488,12243,0,0,2,0,3,175000
489,10800,0,0,2,0,3,160000
490,1526,1,0,1,0,1,86000
491,2665,0,0,1,1,3,115000
492,9490,1,0,1,0,3,133000
493,15578,0,0,2,1,3,172785
494,7931,0,0,1,1,3,155000
495,5784,0,0,1,0,2,91300
496,7879,0,0,1,0,2,34900
497,12692,1,0,3,0,4,430000
498,9120,1,0,2,0,4,184000
499,7800,0,0,1,0,3,130000
500,7535,0,1,1,0,2,120000
501,1890,0,0,1,1,3,113000
502,9803,0,0,2,1,3,226700
503,9170,1,0,1,0,2,140000
504,15602,1,0,2,0,1,289000
505,2308,0,1,2,1,3,147000
506,7596,0,0,2,0,4,124500
507,9554,0,0,2,1,3,215000
508,7862,0,0,2,0,2,208300
509,9600,0,0,2,0,3,161000
510,9600,1,0,1,0,3,124500
511,14559,1,0,1,0,2,164900
512,6792,0,0,2,0,2,202665
513,9100,1,0,1,0,3,129900
514,9187,0,0,1,1,3,134000
515,10594,0,0,1,0,2,96500
516,12220,1,0,2,1,3,402861
517,10448,0,0,2,1,3,158000
518,10208,0,0,2,1,3,265000
519,9531,1,0,2,1,3,211000
520,10918,0,0,1,1,3,234000
521,10800,0,0,2,0,3,106250
522,11988,0,0,1,1,3,150000
523,5000,0,0,2,0,3,159000
524,40094,1,0,3,1,3,184750
525,11787,1,0,2,1,3,315750
526,7500,0,0,2,0,3,176000
527,13300,0,0,1,0,2,132000
528,14948,1,0,2,1,3,446261
529,9098,1,0,1,0,2,86000
530,32668,1,0,3,0,4,200624
531,10200,1,0,2,0,3,175000
532,6155,0,0,2,0,3,128000
533,7200,0,0,1,0,2,107500
534,5000,0,0,1,0,1,39300
535,9056,0,0,2,1,3,178000
536,7000,1,0,1,0,3,107500
537,8924,0,0,2,1,3,188000
538,12735,0,0,1,0,3,111250
539,11553,0,0,1,1,3,158000
540,11423,1,0,2,0,3,272000
541,14601,1,0,2,0,2,315000
542,11000,0,0,2,1,4,248000
543,10140,1,0,2,0,3,213250
544,4058,1,0,1,0,1,133000
545,17104,1,0,2,1,3,179665
546,13837,0,0,2,1,4,229000
547,8737,0,0,1,1,3,210000
548,7244,1,0,1,0,2,129500
549,8235,1,0,1,0,2,125000
550,9375,0,0,2,1,4,263000
551,4043,0,0,2,0,2,140000
552,6000,0,0,1,0,3,112500
553,11146,0,0,2,0,3,255500
554,8777,0,0,2,0,2,108000
555,10625,1,0,2,1,3,284000
556,6380,0,0,1,0,2,113000
557,14850,1,0,1,0,2,141000
558,11040,0,0,1,1,3,108000
559,21872,0,1,2,1,3,175000
560,3196,0,0,2,0,2,234000
561,11341,1,0,1,1,3,121500
562,10010,1,0,1,0,2,170000
563,13907,1,0,1,0,3,108000
564,21780,0,0,2,0,4,185000
565,13346,1,0,2,1,4,268000
566,6858,1,0,1,1,4,128000
567,11198,0,0,2,1,4,325000
568,10171,0,0,2,0,3,214000
569,12327,1,0,1,1,1,316600
570,7032,1,0,1,0,2,135960
571,13101,0,0,2,0,6,142600
572,7332,1,0,1,0,2,120000
573,13159,0,0,2,1,3,224500
574,9967,0,0,2,1,3,170000
575,10500,0,1,1,0,3,139000
576,8480,0,0,1,0,2,118500
577,6292,0,1,2,0,3,145000
578,11777,1,0,1,0,3,164500
579,3604,0,0,2,0,2,146000
580,12150,0,0,2,0,4,131500
581,14585,0,1,1,0,3,181900
582,12704,0,0,2,1,3,253293
583,11841,1,0,1,0,3,118500
584,13500,0,0,3,1,3,325000
585,6120,0,0,1,0,3,133000
586,11443,1,0,2,0,2,369900
587,10267,1,0,1,0,2,130000
588,8740,1,0,1,0,2,137000
589,25095,2,0,1,0,1,143000
590,9100,0,0,1,0,2,79500
591,8320,0,0,2,1,3,185900
592,13478,1,0,2,1,3,451950
593,6600,1,0,1,0,2,138000
594,4435,1,0,1,0,1,140000
595,7990,0,0,1,0,3,110000
596,11302,1,0,2,0,3,319000
597,3600,0,0,1,0,3,114504
598,3922,0,2,0,2,2,194201
599,12984,1,0,2,0,3,217500
600,1950,1,0,2,1,3,151000
601,10927,1,0,2,1,3,275000
602,9000,0,0,1,1,3,141000
603,10041,1,0,2,1,3,220000
604,3182,0,0,2,1,2,151000
605,12803,1,0,2,0,3,221000
606,13600,0,0,2,1,3,205000
607,12464,1,0,1,0,3,152000
608,7800,1,0,3,0,3,225000
609,12168,0,0,2,1,4,359100
610,7943,1,0,1,0,3,118500
611,11050,1,0,2,1,3,313000
612,10395,0,1,2,0,3,148000
613,11885,1,0,2,1,3,261500
614,8402,0,0,1,0,3,147000
615,1491,1,0,1,0,1,75500
616,8800,1,0,1,0,3,137500
617,7861,1,0,2,1,3,183200
618,7227,0,0,1,0,2,105500
619,11694,0,0,2,0,3,314813
620,12244,1,0,2,1,4,305000
621,8248,1,0,1,0,2,67000
622,10800,0,0,2,1,4,240000
623,7064,0,0,1,0,3,135000
624,2117,0,0,2,1,2,168500
625,10400,1,0,1,2,4,165150
626,10000,0,0,1,1,3,160000
627,12342,0,0,1,0,3,139900
628,9600,1,0,1,0,3,153000
629,11606,0,1,1,2,5,135000
630,9020,1,0,1,1,3,168500
631,9000,0,0,1,0,3,124000
632,4590,0,0,2,0,2,209500
633,11900,0,0,2,0,3,82500
634,9250,0,1,1,0,3,139400
635,6979,2,0,0,0,0,144000
636,10896,0,0,2,0,8,200000
637,6120,0,0,1,0,1,60000
638,6000,0,0,2,0,3,93000
639,8777,0,0,1,0,2,85000
640,3982,1,0,2,0,1,264561
641,12677,0,0,1,1,1,274000
642,7050,1,0,2,1,3,226000
643,13860,1,0,2,1,4,345000
644,10793,0,0,2,1,4,152000
645,9187,1,0,2,1,2,370878
646,10530,1,0,1,1,3,143250
647,7200,0,0,1,0,3,98300
648,10452,0,0,1,0,3,155000
649,7700,0,0,1,1,4,155000
650,1936,1,0,1,0,1,84500
651,8125,0,0,2,1,3,205950
652,9084,1,0,1,0,4,108000
653,8750,0,0,2,1,2,191000
654,10320,0,0,1,0,3,135000
655,10437,1,0,2,1,2,350000
656,1680,0,0,1,1,3,88000
657,10007,1,0,1,1,3,145500
658,7200,0,0,1,1,3,149000
659,17503,0,1,1,0,3,97500
660,9937,1,0,1,0,3,167000
661,12384,0,0,2,1,3,197900
662,46589,1,0,2,1,4,402000
663,13560,1,0,1,0,2,110000
664,10012,1,0,2,0,3,137500
665,20896,1,0,1,1,1,423000
666,11194,0,0,2,1,3,230500
667,18450,0,0,2,1,3,129000
668,8125,1,0,2,0,3,193500
669,14175,1,0,1,1,3,168000
670,11600,0,0,1,0,2,137500
671,8633,1,0,2,1,3,173500
672,6629,1,0,2,0,3,103600
673,11250,1,0,1,1,3,165000
674,14442,1,0,2,0,3,257500
675,9200,1,0,1,0,3,140000
676,2289,0,0,2,1,3,148500
677,9600,1,0,2,0,4,87000
678,9022,0,0,1,0,2,109500
679,11844,0,0,2,1,3,372500
680,9945,1,0,1,0,3,128500
681,8012,0,0,2,0,2,143000
682,4500,0,0,1,0,3,159434
683,2887,1,0,1,0,2,173000
684,11248,1,0,2,0,3,285000
685,16770,0,0,2,1,4,221000
686,5062,1,0,2,0,3,207500
687,10207,0,0,3,0,3,227875
688,5105,0,0,2,1,2,148800
689,8089,1,0,2,0,2,392000
690,7577,0,0,2,0,2,194700
691,4426,1,0,1,0,1,141000
692,21535,0,1,3,1,4,755000
693,26178,1,0,2,1,4,335000
694,5400,0,0,1,0,2,108480
695,6120,0,0,1,1,3,141500
696,13811,1,0,2,0,2,176000
697,6000,0,0,1,0,2,89000
698,6420,0,1,1,0,2,123500
699,8450,1,0,1,0,3,138500
700,4282,0,0,2,0,2,196000
701,14331,1,0,2,0,3,312500
702,9600,0,0,1,1,3,140000
703,12438,0,0,2,1,4,361919
704,7630,0,0,2,0,4,140000
705,8400,1,0,2,0,3,213000
706,5600,0,0,2,0,3,55000
707,115149,1,0,2,0,2,302000
708,6240,1,0,2,0,2,254000
709,9018,0,0,2,1,3,179540
710,7162,0,0,1,0,3,109900
711,4130,0,0,1,0,2,52000
712,8712,0,0,1,0,2,102776
713,4671,1,0,2,0,2,189000
714,9873,1,0,1,0,3,129000
715,13517,0,0,2,1,3,130500
716,10140,0,0,2,0,3,165000
717,10800,0,0,1,1,3,159500
718,10000,0,1,1,1,3,157000
719,10542,1,0,2,1,3,341000
720,9920,0,0,1,1,3,128500
721,6563,1,0,2,0,2,275000
722,4426,1,0,1,0,1,143000
723,8120,0,0,1,0,3,124500
724,8172,0,0,2,0,4,135000
725,13286,1,0,2,0,3,320000
726,6960,0,0,1,0,3,120500
727,21695,1,0,2,0,3,222000
728,7314,1,0,2,0,2,194500
729,11475,1,0,2,0,4,110000
730,6240,0,0,1,0,2,103000
731,5389,1,0,2,0,2,236500
732,9590,1,0,2,0,3,187500
733,11404,0,0,2,1,3,222500
734,10000,1,0,1,0,3,131400
735,8978,0,0,1,0,3,108000
736,10800,0,0,1,1,2,163000
737,8544,0,0,2,0,2,93500
738,10463,0,0,2,1,3,239900
739,10800,3,0,3,0,3,179000
740,9313,0,0,2,1,3,190000
741,9600,0,0,2,0,2,132000
742,6768,1,1,1,0,3,142000
743,8450,0,0,2,0,3,179000
744,12886,0,1,2,0,3,175000
745,5395,1,0,2,0,2,180000
746,8963,0,1,3,1,4,299800
747,8795,0,0,2,1,4,236000
748,11700,0,0,1,1,4,265979
749,10593,1,0,2,0,3,260400
750,8405,0,0,2,0,4,98000
751,8800,0,0,1,0,3,96500
752,7750,0,0,2,1,3,162000
753,9236,1,0,2,0,3,217000
754,10240,0,0,2,1,3,275500
755,7930,1,0,1,0,3,156000
756,3230,0,0,2,1,3,172500
757,10769,0,0,2,1,3,212000
758,11616,0,0,2,1,3,158900
759,2280,0,0,2,1,3,179400
760,12257,0,0,2,1,4,290000
761,9100,0,0,1,0,2,127500
762,6911,0,0,1,0,2,100000
763,8640,0,0,2,1,3,215200
764,9430,1,0,2,1,3,337000
765,9549,1,0,1,1,2,270000
766,14587,0,0,2,0,2,264132
767,10421,0,0,2,1,3,196500
768,12508,1,0,2,0,4,160000
769,9100,0,0,2,0,3,216837
770,53504,1,0,3,1,4,538000
771,7252,1,0,1,0,2,134900
